sort country count value Zone_1 Zone_2
EGY Egypt 249 1.0289256198 "Middle East and North Africa" "Northern Africa"
IRN Iran 357 1.4752066116 "Middle East and North Africa" "South Asia"
CAN Canada 1877 7.7561983471 "North America" "North America"
USA "United States" 2461 10.1694214876 "North America" "North America"
LKA "Sri Lanka" 26 0.1074380165 "South Asia" "South Asia"
BGD Bangladesh 32 0.132231405 "South Asia" "South Asia"
NPL Nepal 33 0.1363636364 "South Asia" "South Asia"
PAK Pakistan 78 0.3223140496 "South Asia" "South Asia"
IND India 273 1.1280991736 "South Asia" "South Asia"
BFA "Burkina Faso" 1 0.0041322314 "Sub-Saharan Africa" "Western Africa"
GAB Gabon 8 0.0330578512 "Sub-Saharan Africa" "Central Africa"
BDI Burundi 14 0.0578512397 "Sub-Saharan Africa" "Eastern Africa"
TGO Togo 14 0.0578512397 "Sub-Saharan Africa" "Western Africa"
MUS Mauritius 15 0.0619834711 "Sub-Saharan Africa" "Western Indian Ocean"
RWA Rwanda 15 0.0619834711 "Sub-Saharan Africa" "Eastern Africa"
TCD Chad 19 0.0785123967 "Sub-Saharan Africa" "Central Africa"
MLI Mali 20 0.0826446281 "Sub-Saharan Africa" "Western Africa"
NAM Namibia 20 0.0826446281 "Sub-Saharan Africa" "Southern Africa"
BEN Benin 21 0.0867768595 "Sub-Saharan Africa" "Western Africa"
BWA Botswana 21 0.0867768595 "Sub-Saharan Africa" "Southern Africa"
SLE "Sierra Leone" 21 0.0867768595 "Sub-Saharan Africa" "Western Africa"
SEN Senegal 22 0.0909090909 "Sub-Saharan Africa" "Western Africa"
ZMB Zambia 25 0.1033057851 "Sub-Saharan Africa" "Southern Africa"
MWI Malawi 30 0.1239669421 "Sub-Saharan Africa" "Southern Africa"
COG Congo 34 0.1404958678 "Sub-Saharan Africa" "Central Africa"
TZA Tanzania 34 0.1404958678 "Sub-Saharan Africa" "Southern Africa"
UGA Uganda 43 0.1776859504 "Sub-Saharan Africa" "Eastern Africa"
ZWE Zimbabwe 46 0.1900826446 "Sub-Saharan Africa" "Southern Africa"
KEN Kenya 47 0.194214876 "Sub-Saharan Africa" "Eastern Africa"
GHA Ghana 55 0.2272727273 "Sub-Saharan Africa" "Western Africa"
NGA Nigeria 64 0.2644628099 "Sub-Saharan Africa" "Western Africa"
CMR Cameroon 71 0.2933884298 "Sub-Saharan Africa" "Central Africa"
ETH Ethiopia 83 0.3429752066 "Sub-Saharan Africa" "Eastern Africa"
ZAF "South Africa" 315 1.3016528926 "Sub-Saharan Africa" "Southern Africa"
